,week,product_analytic_sub_category,gmv,units,sla,product_mrp,product_procurement_sla,sla_diff,discount_percentage,gmv_per_unit,order_payment_type_Prepaid,special_sales,NPS,Stock Index,Total Investment,TV,Digital,Sponsorship,Content Marketing,Online marketing,Affiliates,SEM,Radio,Other,pay_day
85,31,GamingAccessory,1391588.0,2573,6.291932907348243,1081.1214057507987,2.281150159744409,4.010782747603834,46.635560821986225,542.7234424920127,411.0,0,47.09303132503156,1052.0,74.19599999999821,0.205192397235649,0.021362496150560833,0.19675983296570781,0.04216282134979193,1.0728095654558298,0.34526665927554717,0.19675983296570781,0.12648846404937475,1.2691009226287246,0
86,31,HomeAudio,1080067.0,946,6.991498405951116,1688.4027630180658,1.9415515409139215,5.049946865037194,32.15035511123563,1144.4367693942613,169.0,0,47.093031325033536,1052.0,74.1960000000014,0.2945822033626605,0.030668832130906768,0.28247608541624875,0.06053058973205329,1.5401672276266454,0.49567827369469436,0.28247608541624875,0.18159176919615996,1.8219707509347765,0
87,32,CameraAccessory,1790209.0,3963,6.248137683020807,1084.1186745440534,2.2468533264834316,4.001284356537375,54.59160891258889,452.75366041613154,670.0,1,50.327406499078315,1222.0,48.05199999999796,0.1897249921538861,0.14032352304304374,0.860256897116284,0.043782690497049484,1.4594230165684456,0.47431248038470075,0.35755863905926677,0.0,0.0,1
88,32,GamingAccessory,1677618.250137741,3259,6.046672973825292,1055.2062440870388,2.284137496058026,3.762535477767266,47.50623355043063,519.0134815949988,527.0,1,50.32740649908039,1222.0,48.0519999999984,0.12114819685701148,0.08960307021385978,0.5493138818258771,0.027957276197772444,0.9319092065925042,0.3028704921425667,0.2283177556151614,0.0,0.0,1
89,32,HomeAudio,1374374.0,1168,6.658031088082901,1747.0690846286702,1.9525043177892918,4.70552677029361,32.10232254291749,1180.3514680483593,221.0,1,50.3274064990817,1222.0,48.05200000000121,0.17392507346442931,0.12863766010464903,0.7886164196430946,0.04013655541486781,1.3378851804955647,0.434812683661054,0.32778186922142155,0.0,0.0,1
90,33,CameraAccessory,1391401.0,2733,6.183658170914542,1120.6195652173913,2.118065967016492,4.065592203898051,49.08756248691115,512.4089205397302,516.0,1,50.32740649908251,1222.0,48.05199999999885,0.1897249921538993,0.14032352304304166,0.8602568971162239,0.04378269049705279,1.4594230165684174,0.47431248038470253,0.357558639059244,0.0,0.0,0
91,33,GamingAccessory,1611661.5002754822,3248,5.741700916851091,1056.1090736642427,2.218779639582675,3.522921277268416,49.956321139466795,499.09458328869704,540.0,1,50.32740649908042,1222.0,48.05199999999841,0.12114819685701148,0.0896030702138598,0.5493138818258773,0.027957276197772458,0.9319092065925042,0.3028704921425667,0.22831775561516132,0.0,0.0,0
92,33,HomeAudio,1192557.0,1044,6.729026036644166,1747.2864030858245,2.1793635486981677,4.549662487945998,34.239516336023314,1145.443587270974,183.0,1,50.32740649908146,1222.0,48.05200000000096,0.17392507346442904,0.12863766010464794,0.7886164196430983,0.040136555414867756,1.3378851804955716,0.4348126836610544,0.32778186922141944,0.0,0.0,0
93,34,CameraAccessory,2048439.0,4559,5.9439336174030055,1078.9847499439336,2.207221350078493,3.736712267324512,51.20392428200264,451.18441354563805,823.0,1,50.327406499077156,1222.0,48.05199999999772,0.18972499215388228,0.14032352304305007,0.8602568971163005,0.04378269049704819,1.4594230165684536,0.4743124803847074,0.3575586390592753,0.0,0.0,1
94,34,GamingAccessory,2022935.0758199086,4354,5.717145548751766,1041.6632124352332,2.237164390014131,3.4799811587376355,52.33337489345212,466.25240042865795,686.0,1,50.327406499077554,1222.0,48.051999999997804,0.12114819685701032,0.08960307021385848,0.5493138818258879,0.027957276197771205,0.9319092065925123,0.3028704921425686,0.22831775561516968,0.0,0.0,1
